CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
XPO7,55,EIF3CL,47,0.172
XPO7,55,GIMAP8,115,0.181
XPO7,55,PPP1CB,106,0.181
XPO7,55,RAB41,98,0.151
XPO7,55,SUFU,2,0.181
YWHAZ,81,ANKK1,14,0.165
YWHAZ,81,CTNND1,123,0.181
YWHAZ,81,CWC27,116,0.274
YWHAZ,81,DDX39B,69,0.161
YWHAZ,81,GEN1,71,0.163
YWHAZ,81,HSF1,57,0.152
YWHAZ,81,HSFX1,51,0.152
YWHAZ,81,ISLR2,112,0.161
YWHAZ,81,LIMK1,65,0.552
YWHAZ,81,LINGO2,108,0.161
YWHAZ,81,PARD6A,94,0.27
YWHAZ,81,PPP1CB,106,0.398
YWHAZ,81,REM2,86,0.181
YWHAZ,81,RIPK3,129,0.165
YWHAZ,81,RTN4RL2,12,0.161
YWHAZ,81,SSH1,67,0.544
YWHAZ,81,UBR5,5,0.175
SYK,77,LIMK1,65,0.154
SYK,77,PARD6A,94,0.179
SYK,77,PPM1D,121,0.163
SYK,77,SH3BP2,80,0.741
RPL7,68,DDX39B,69,0.153
RPL7,68,IPO8,78,0.155
RPL7,68,NAA60,23,0.244
RPL7,68,RPL30,95,0.996
RPL7,68,SSH1,67,0.179
YWHAB,113,ANKK1,14,0.165
YWHAB,113,DDX39B,69,0.161
YWHAB,113,GEN1,71,0.163
YWHAB,113,HSF1,57,0.152
YWHAB,113,HSFX1,51,0.152
YWHAB,113,ISLR2,112,0.161
YWHAB,113,LIMK1,65,0.165
YWHAB,113,LINGO2,108,0.161
YWHAB,113,PPM1D,121,0.198
YWHAB,113,PPP1CB,106,0.398
YWHAB,113,RIPK3,129,0.165
YWHAB,113,RTN4RL2,12,0.161
YWHAB,113,SSH1,67,0.689
YWHAB,113,UBR5,5,0.175
GLI3,53,SUFU,2,0.959
GLI3,53,UBR5,5,0.169
NT5DC2,82,WDFY4,70,0.155
SIRT1,114,GEN1,71,0.197
SIRT1,114,HSF1,57,0.27
CCDC88C,97,WDFY4,70,0.185
CCDC88C,97,CTNND1,123,0.183
