attribute,position,CANCER_TYPE,MARKER_TYPE,EXPRESSION_LEVEL,CELL_LINE,PUBMED_ID
OSBPL1A,1,Non Small Cell Lung Cancer,HTM,Up,H2170,25881239
GNAI1,2,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
GNAI1,2,Pancreatic Cancer,HTM,Down,PC1J,34168259
PMEPA1,4,Luminal A Breast Cancer,HTM,Down,MCF7,34680485
PLCB1,5,Non Small Cell Lung Cancer,"HTM, HTM","Up, Up","A549, H2170","25881239, 25881239"
HOXC4,6,Bladder Cancer,HTM,Up,SW780,29340052
CENPK,7,Dukes Type C Colon Cancer,HTM,Down,SW620,22954703
CENPK,7,Colon Cancer,HTM,Up,Primary,28881576
UCK2,9,Luminal A Breast Cancer,HTM,Down,MCF7,34680485
FHL2,10,Non Small Cell Lung Cancer,"HTM, HTM, HTM","Down, Up, Down","A549, H1299, H292","34059086, 23820871, 34059086"
FHL2,10,Luminal A Breast Cancer,HTM,Down,MCF7,34680485
FHL2,10,Gastric Cancer,"HTM, HTM","Down, Down","NCI-N87, SNU484","30696080, 30696080"
FHL2,10,Bladder Cancer,HTM,Up,UM-UC3,30397177
ACVR1,11,Pancreatic Cancer,"LTM, LTM, LTM","NA, NA, NA","Capan-1, PANC-1, SW1990","30819221, 30819221, 30819221"
AFAP1,15,Luminal A Breast Cancer,HTM,Down,MCF7,34680485
BICD1,18,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
TMSB15B,20,Dukes Type C Colon Cancer,HTM,Down,SW620,22954703
AP1S3,22,Triple Negative Breast Cancer,HTM,Down,HCC1937,31709178
AP1S3,22,Bladder Cancer,HTM,Up,UM-UC3,30397177
NEDD4,24,Luminal B Breast Cancer,HTM,Up,BT-474,19353633
NEDD4,24,Non Small Cell Lung Cancer,HTM,Down,H2170,25881239
NEDD4,24,Luminal A Breast Cancer,"HTM, HTM","Up, Up","MCF7, T47D","19353633, 19353633"
ERC1,25,Non Small Cell Lung Cancer,HTM,Down,H2170,25881239
EPHB2,26,Colon Cancer,"LTM, LTM, LTM","NA, NA, NA","HCT116, HT-29, HT-29","27748801, 27748801, 27748801"
NPAS2,28,Non Small Cell Lung Cancer,"HTM, HTM","Up, Up","A549, A549","25881239, 25881239"
MBOAT2,29,Non Small Cell Lung Cancer,"HTM, HTM, HTM","Down, Down, Down","A549, A549, H2170","25881239, 25881239, 25881239"
MBOAT2,29,Dukes Type C Colon Cancer,HTM,Down,SW620,22954703
ETNK1,30,Non Small Cell Lung Cancer,"HTM, HTM","Up, Up","A549, A549","25881239, 25881239"
ITGB8,33,Non Small Cell Lung Cancer,"HTM, HTM, HTM, HTM","Up, Down, Down, Down","A549, A549, A549, H2170","29416721, 25881239, 25881239, 25881239"
ITGB8,33,Triple Negative Breast Cancer,HTM,Down,HCC1937,31709178
ITGB8,33,Luminal A Breast Cancer,"HTM, HTM","Up, Up","MCF7, MCF7","34680485, 31501409"
PLOD2,36,Head and Neck Cancer,"HTM, HTM","Down, Up","CAL27, Primary","23903875, 35013621"
PLOD2,36,Non Small Cell Lung Cancer,HTM,Down,H2170,25881239
PLOD2,36,Triple Negative Breast Cancer,HTM,Up,HCC1937,31709178
PLOD2,36,Hepatic Cancer,"HTM, HTM, HTM, HTM, HTM","Down, Down, Down, Down, Down","Hep3B, Hep3B, Hep3B, Huh7, Huh7","25676692, 25676692, 26259570, 25676692, 26259570"
PLOD2,36,Luminal A Breast Cancer,HTM,Down,MCF7,34680485
SLC38A6,40,Non Small Cell Lung Cancer,"HTM, HTM","Up, Up","A549, A549","25881239, 25881239"
SLC38A6,40,Dukes Type C Colon Cancer,HTM,Down,SW620,22954703
AIG1,42,Non Small Cell Lung Cancer,HTM,Down,A549,25881239
STRN,43,Non Small Cell Lung Cancer,HTM,Down,A549,34059086
RASA1,44,Triple Negative Breast Cancer,"HTM, HTM","Down, Down","BT-549, BT-549","29352988, 29352988"
RASEF,45,Non Small Cell Lung Cancer,"HTM, HTM, HTM, HTM","Up, Up, Up, Up","A549, A549, A549, H2170","29416721, 29416721, 29416721, 25881239"
ABCA12,46,Non Small Cell Lung Cancer,"HTM, HTM, HTM, HTM","Up, Down, Down, Down","A549, A549, A549, H2170","29316740, 25881239, 25881239, 25881239"
ABCA12,46,Triple Negative Breast Cancer,"HTM, HTM","Down, Down","HCC1937, SUM149PT","31709178, 31709178"
ABCA12,46,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
GPR180,47,Luminal A Breast Cancer,HTM,Up,MCF7,17911267
