attribute,position,CANCER_TYPE,MARKER_TYPE,EXPRESSION_LEVEL,CELL_LINE,PUBMED_ID
METTL7A,1,Luminal A Breast Cancer,"HTM, HTM","Up, Down","MCF7, MCF7","34680485, 31501409"
OSBPL1A,3,Non Small Cell Lung Cancer,HTM,Up,H2170,25881239
MOCS1,5,Bladder Cancer,HTM,Down,SW780,29340052
RASA1,8,Triple Negative Breast Cancer,"HTM, HTM","Down, Down","BT-549, BT-549","29352988, 29352988"
TRIM13,9,Non Small Cell Lung Cancer,HTM,Up,H2170,25881239
CENPK,11,Dukes Type C Colon Cancer,HTM,Down,SW620,22954703
CENPK,11,Colon Cancer,HTM,Up,Primary,28881576
CHD7,14,Non Small Cell Lung Cancer,HTM,Up,H2170,25881239
GNAI1,17,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
GNAI1,17,Pancreatic Cancer,HTM,Down,PC1J,34168259
FRMD4B,18,Non Small Cell Lung Cancer,"HTM, HTM, HTM","Down, Down, Down","A549, A549, H2170","25881239, 25881239, 25881239"
FRMD4B,18,Triple Negative Breast Cancer,HTM,Down,HCC1937,31709178
FRMD4B,18,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
ABCA7,22,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
DUSP1,29,Non Small Cell Lung Cancer,"HTM, HTM","Down, Down","A549, A549","34059086, 34059086"
DUSP1,29,Hepatic Cancer,"HTM, HTM","Down, Down","Hep3B, Huh7","26259570, 26259570"
WDR1,33,Pancreatic Cancer,HTM,Up,PANC-1,27746256
PABPC1,39,Pancreatic Cancer,"HTM, HTM","Down, Down","L3.6pl, L3.6sl","32503348, 32503348"
PABPC1,39,Luminal A Breast Cancer,"HTM, HTM","Down, Down","MCF7, MCF7","34680485, 31501409"
MFNG,48,Triple Negative Breast Cancer,HTM,Down,HCC1937,31709178
MFNG,48,Hepatic Cancer,"HTM, HTM, HTM","Up, Up, Up","Huh7, KMCH-1, WRL68","21618577, 21618577, 21618577"
FGF5,50,Non Small Cell Lung Cancer,"HTM, HTM, HTM","Down, Down, Down","A549, A549, H2170","25881239, 25881239, 25881239"
STRN,56,Non Small Cell Lung Cancer,HTM,Down,A549,34059086
