attribute,position,CANCER_TYPE,MARKER_TYPE,EXPRESSION_LEVEL,CELL_LINE,PUBMED_ID
METTL7A,1,Luminal A Breast Cancer,"HTM, HTM","Up, Down","MCF7, MCF7","34680485, 31501409"
OSBPL1A,2,Non Small Cell Lung Cancer,HTM,Up,H2170,25881239
MOCS1,7,Bladder Cancer,HTM,Down,SW780,29340052
RASA1,11,Triple Negative Breast Cancer,"HTM, HTM","Down, Down","BT-549, BT-549","29352988, 29352988"
PABPC1,19,Pancreatic Cancer,"HTM, HTM","Down, Down","L3.6pl, L3.6sl","32503348, 32503348"
PABPC1,19,Luminal A Breast Cancer,"HTM, HTM","Down, Down","MCF7, MCF7","34680485, 31501409"
DUSP1,23,Non Small Cell Lung Cancer,"HTM, HTM","Down, Down","A549, A549","34059086, 34059086"
DUSP1,23,Hepatic Cancer,"HTM, HTM","Down, Down","Hep3B, Huh7","26259570, 26259570"
CNOT6,24,Hepatic Cancer,"HTM, HTM, HTM","Up, Up, Up","Huh7, KMCH-1, WRL68","21618577, 21618577, 21618577"
CNOT6,24,Colon Cancer,HTM,Up,Primary,20530554
ZNF787,26,Non Small Cell Lung Cancer,HTM,Down,A549,34059086
CENPK,27,Dukes Type C Colon Cancer,HTM,Down,SW620,22954703
CENPK,27,Colon Cancer,HTM,Up,Primary,28881576
GNAI1,28,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
GNAI1,28,Pancreatic Cancer,HTM,Down,PC1J,34168259
ORAI2,33,Dukes Type C Colon Cancer,HTM,Down,SW620,22954703
USP49,34,Hepatic Cancer,"HTM, HTM","Down, Down","Hep3B, Huh7","26259570, 26259570"
CD14,35,Triple Negative Breast Cancer,HTM,Up,HCC1937,31709178
LPCAT2,36,Non Small Cell Lung Cancer,"HTM, HTM, HTM, HTM","Down, Down, Down, Down","A549, A549, A549, H2170","34059086, 34059086, 25881239, 25881239"
TRIM13,37,Non Small Cell Lung Cancer,HTM,Up,H2170,25881239
DLG3,39,Non Small Cell Lung Cancer,HTM,Up,H2170,25881239
DLG3,39,Triple Negative Breast Cancer,HTM,Down,HCC1937,31709178
DLG3,39,Luminal A Breast Cancer,HTM,Down,MCF7,31501409
GCKR,41,Triple Negative Breast Cancer,HTM,Up,HCC1937,31709178
WDR1,42,Pancreatic Cancer,HTM,Up,PANC-1,27746256
E2F3,46,Dukes Type A Colon Cancer,LTM,NA,SW1116,23674142
LRP5L,48,Hepatic Cancer,"HTM, HTM","Down, Down","Hep3B, Huh7","26259570, 26259570"
SUFU,49,Skin Cancer,HTM,Up,Primary,29959199
MGP,54,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
SEMA7A,58,Non Small Cell Lung Cancer,"HTM, HTM, HTM","Down, Down, Down","A549, A549, H2170","25881239, 25881239, 25881239"
SEMA7A,58,Hepatic Cancer,"HTM, HTM","Down, Down","Hep3B, Huh7","26259570, 26259570"
SEMA7A,58,Luminal A Breast Cancer,HTM,Down,MCF7,34680485
PIK3IP1,63,Triple Negative Breast Cancer,HTM,Down,HCC1937,31709178
PIK3IP1,63,Hepatic Cancer,"HTM, HTM","Down, Down","Hep3B, Huh7","26259570, 26259570"
TXNIP,66,Non Small Cell Lung Cancer,HTM,Up,A549,35229723
GOPC,67,Non Small Cell Lung Cancer,HTM,Down,A549,34059086
MFNG,74,Triple Negative Breast Cancer,HTM,Down,HCC1937,31709178
MFNG,74,Hepatic Cancer,"HTM, HTM, HTM","Up, Up, Up","Huh7, KMCH-1, WRL68","21618577, 21618577, 21618577"
GOLM1,75,Skin Cancer,HTM,Down,Primary,24098529
ACAD10,77,Luminal A Breast Cancer,HTM,Down,MCF7,31501409
FGF5,78,Non Small Cell Lung Cancer,"HTM, HTM, HTM","Down, Down, Down","A549, A549, H2170","25881239, 25881239, 25881239"
EIF2AK2,81,Pancreatic Cancer,HTM,Down,PC1J,34168259
UCK2,82,Luminal A Breast Cancer,HTM,Down,MCF7,34680485
SH3BP2,85,Luminal A Breast Cancer,HTM,Down,MCF7,31501409
COL17A1,93,Non Small Cell Lung Cancer,"HTM, HTM, HTM, HTM, LTM","Up, Down, Down, Down, NA","A549, A549, A549, H2170, A549","29416721, 25881239, 25881239, 25881239, 31928533"
COL17A1,93,Triple Negative Breast Cancer,HTM,Down,HCC1937,31709178
