attribute,position,CANCER_TYPE,MARKER_TYPE,EXPRESSION_LEVEL,CELL_LINE,PUBMED_ID
OSBPL1A,4,Non Small Cell Lung Cancer,HTM,Up,H2170,25881239
MOCS1,6,Bladder Cancer,HTM,Down,SW780,29340052
CBX5,7,Gastric Cancer,"HTM, HTM","Down, Down","NCI-N87, SNU484","30696080, 30696080"
DDX55,9,Non Small Cell Lung Cancer,HTM,Up,A549,25881239
CENPK,15,Dukes Type C Colon Cancer,HTM,Down,SW620,22954703
CENPK,15,Colon Cancer,HTM,Up,Primary,28881576
NSFL1C,17,Skin Cancer,HTM,Down,Primary,24098529
FUT4,18,Gastric Cancer,"LTM, LTM, LTM, LTM, LTM","NA, NA, NA, NA, NA","KATO-III, MKN28, MKN45, MKN74, NCI-N87","19415765, 19415765, 19415765, 19415765, 19415765"
FUT4,18,Pancreatic Cancer,LTM,NA,L3.6pl,26840266
FUT4,18,Non Small Cell Lung Cancer,LTM,NA,NCI-H1915,23418195
FUT4,18,Glioblastoma,"LTM, LTM, LTM","NA, NA, NA","Primary, Primary, Primary","19427293, 19956386, 28881826"
FUT4,18,Skin Cancer,LTM,NA,Primary,26290260
FUT4,18,Glioblastoma Multiforme,LTM,NA,Primary,33669350
CREBL2,20,Non Small Cell Lung Cancer,HTM,Up,A549,25881239
STYXL1,22,Non Small Cell Lung Cancer,HTM,Down,H292,34059086
DENND2D,24,Triple Negative Breast Cancer,HTM,Down,HCC1937,31709178
DENND2D,24,Colon Cancer,HTM,Up,Primary,20530554
PTGES3,25,Pancreatic Cancer,"HTM, HTM","Down, Down","L3.6pl, L3.6sl","32503348, 32503348"
TRIM13,27,Non Small Cell Lung Cancer,HTM,Up,H2170,25881239
GNAI1,28,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
GNAI1,28,Pancreatic Cancer,HTM,Down,PC1J,34168259
DUSP1,29,Non Small Cell Lung Cancer,"HTM, HTM","Down, Down","A549, A549","34059086, 34059086"
DUSP1,29,Hepatic Cancer,"HTM, HTM","Down, Down","Hep3B, Huh7","26259570, 26259570"
CLSTN3,30,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
PRPF4B,31,Breast Cancer,"HTM, HTM","Down, Down","BrCa-Mz-01, SKBR7","19190339, 19190339"
PRPF4B,31,Triple Negative Breast Cancer,"HTM, HTM, HTM","Down, Down, Down","MDA-MB-231, MDA-MB-453, SUM159","19190339, 19190339, 19190339"
ZNF787,32,Non Small Cell Lung Cancer,HTM,Down,A549,34059086
YES1,36,Colon Cancer,HTM,Up,Primary,28881576
NMI,37,Non Small Cell Lung Cancer,HTM,Down,A549,34059086
